121,2008,339,2010,12.35,6543,0
121,2008,339,2020,12.35,6543,0
121,2008,339,2030,12.35,6543,0
121,2008,339,2040,12.35,6543,0
121,2008,339,2050,12.35,6543,0
121,2008,339,2100,12.34,6543,0
121,2008,339,2110,12.34,6543,0
121,2008,339,2120,12.34,6543,0
121,2008,339,2130,12.34,6543,0
121,2008,339,2140,12.34,6543,0
121,2008,339,2150,12.34,6543,0
121,2008,339,2200,12.34,6543,0
121,2008,339,2210,12.34,6543,0
121,2008,339,2220,12.34,6543,0
121,2008,339,2230,12.34,6543,0
121,2008,339,2240,12.34,6543,0
121,2008,339,2250,12.34,6543,0
121,2008,339,2300,12.34,6543,0
121,2008,339,2310,12.34,6543,0
121,2008,339,2320,12.34,6543,0
121,2008,339,2330,12.34,6543,0
121,2008,339,2340,12.34,6543,0
121,2008,339,2350,12.34,6543,0
121,2008,339,2400,12.34,6543,0
122,2008,339,2400,12.06,6543,0
121,2008,340,10,12.34,6543,0
121,2008,340,20,12.34,6543,0
121,2008,340,30,12.34,6543,0
121,2008,340,40,12.34,6543,0
121,2008,340,50,12.34,6543,0
121,2008,340,100,12.34,6543,0
121,2008,340,110,12.34,6543,0
121,2008,340,120,12.34,6543,0
121,2008,340,130,12.34,6543,0
121,2008,340,140,12.34,6543,0
121,2008,340,150,12.34,6543,0
121,2008,340,200,12.34,6543,0
121,2008,340,210,12.34,6543,0
121,2008,340,220,12.34,6543,0
121,2008,340,230,12.34,6543,0
121,2008,340,240,12.34,6543,0
121,2008,340,250,12.34,6543,0
121,2008,340,300,12.34,6543,0
121,2008,340,310,12.34,6543,0
121,2008,340,320,12.34,6543,0
121,2008,340,330,12.34,6543,0
121,2008,340,340,12.34,6543,0
121,2008,340,350,12.34,6543,0
121,2008,340,400,12.34,6543,0
121,2008,340,410,12.34,6543,0
121,2008,340,420,12.34,6543,0
121,2008,340,430,12.34,6543,0
121,2008,340,440,12.34,6543,0
121,2008,340,450,12.34,6543,0
121,2008,340,500,12.34,6543,0
121,2008,340,510,12.34,6543,0
121,2008,340,520,12.34,6543,0
121,2008,340,530,12.34,6543,0
121,2008,340,540,12.34,6543,0
121,2008,340,550,12.34,6543,0
121,2008,340,600,12.34,6543,0
121,2008,340,610,12.16,6543,0
121,2008,340,620,12.33,6543,0
121,2008,340,630,12.34,6543,0
121,2008,340,640,12.34,6543,0
121,2008,340,650,12.33,6543,0
121,2008,340,700,12.34,6543,0
121,2008,340,710,12.34,6543,0
121,2008,340,720,12.34,6543,0
121,2008,340,730,12.33,6543,0
121,2008,340,740,12.34,6543,0
121,2008,340,750,12.34,6543,0
121,2008,340,800,12.34,6543,0
121,2008,340,810,12.33,6543,0
121,2008,340,820,12.34,6543,0
121,2008,340,830,12.34,6543,0
121,2008,340,840,12.33,6543,0
121,2008,340,850,12.34,6543,0
121,2008,340,900,12.34,6543,0
121,2008,340,910,12.34,6543,0
121,2008,340,920,12.33,6543,0
121,2008,340,930,12.34,6543,0
121,2008,340,940,12.34,6543,0
121,2008,340,950,12.34,6543,0
121,2008,340,1000,12.34,6543,0
121,2008,340,1010,12.34,6543,0
121,2008,340,1020,12.34,6543,0
121,2008,340,1030,12.34,6543,0
121,2008,340,1040,12.34,6543,0
121,2008,340,1050,12.34,6543,0
121,2008,340,1100,12.34,6543,0
121,2008,340,1110,12.34,6543,0
121,2008,340,1120,12.34,6543,0
121,2008,340,1130,12.34,6543,0
