69,WAC-009,nmb3,6/28/2006,10,32.7,4300,45,0,4.97,0.09,0,0.19,1.04,1.26,1.26,1.26,1.26,1.31,0,0.85,0.22,0,4.47,S,7.15,S
70,WAC-009,nmb3,7/7/2006,10,35.5,4300,180,2,4.95,0.86,6,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0,0,0,0,6.78,NE,4.07,NE
71,WAC-009,nmb3,7/13/2006,10,35,4300,45,0,6.65,0.91,5,0.03,0.03,0.03,0.03,0.03,0.03,0.48,0,0,0,0,14.17,SW,10.76,SW
72,WAC-009,nmb3,7/17/2006,10,34.7,2100,1,0,5.89,0.51,0,0.02,0.59,0.59,0.59,0.62,0.62,0.62,0,0.57,0,0,2.64,SE,2.81,NE
73,WAC-009,nmb3,7/24/2006,10,34.6,2000,1,0,5.57,0,6,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.01,0,0,0,2.77,SE,6.03,SW
74,WAC-009,nmb3,7/26/2006,10,35,4300,135,1,5.28,0.02,0,0.08,1.53,1.79,1.79,1.79,1.79,1.79,0,1.45,0.26,0,3.84,S,3.99,SW
75,WAC-009A,nmb3,5/16/2006,10,34,4300,45,1,5.44,0.87,0,0.02,0.47,0.47,0.47,0.47,0.47,0.47,0,0.45,0,0,4.5,SW,10.45,SW
76,WAC-009A,nmb3,5/21/2006,10,35,4300,1,2,5.27,0.35,0,0.44,0.46,0.5,0.5,0.5,0.52,0.97,0,0.02,0.04,0,6.74,W,8.81,SW
77,WAC-009A,nmb3,6/4/2006,354,31.8,2000,1,0,3.54,0.57,7,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0,0,0,0,6.46,S,2.31,SW
78,WAC-009A,nmb3,6/6/2006,712,18,4300,1,0,4.09,0.75,0,0.88,0.89,1.24,1.24,1.24,1.24,1.24,0.01,0.01,0.35,0,4.44,N,4.23,N
79,WAC-009A,nmb3,6/7/2006,10,34,4300,1,0,4.54,0.83,0,0.43,1.31,1.32,1.67,1.67,1.67,1.67,0,0.88,0.01,0.35,13.53,SW,4.44,N
80,WAC-009A,nmb3,6/9/2006,10,34,4300,1,0,5.37,0.95,0,1.98,1.99,2.42,3.3,3.31,3.66,3.66,0.01,0.01,0.43,0.88,5.77,SW,9.82,SW
81,WAC-009A,nmb3,6/15/2006,20,34,2000,1,1,5.91,0.81,0,0.18,0.52,4.87,4.87,4.87,4.87,6.85,0,0.34,4.35,0,1.9,SE,6.3,SW
82,WAC-009A,nmb3,6/28/2006,20,32.7,4300,45,0,4.97,0.09,0,0.19,1.04,1.26,1.26,1.26,1.26,1.31,0,0.85,0.22,0,4.47,S,7.15,S
83,WAC-009A,nmb3,7/7/2006,31,35.5,4300,180,2,4.95,0.86,6,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0,0,0,0,6.78,NE,4.07,NE
84,WAC-009A,nmb3,7/13/2006,20,35.1,4300,45,0,6.65,0.91,5,0.03,0.03,0.03,0.03,0.03,0.03,0.48,0,0,0,0,14.17,SW,10.76,SW
85,WAC-009A,nmb3,7/17/2006,86,34.7,2100,1,0,5.89,0.51,0,0.02,0.59,0.59,0.59,0.62,0.62,0.62,0,0.57,0,0,2.64,SE,2.81,NE
86,WAC-009A,nmb3,7/24/2006,10,34.6,2000,1,0,5.57,0,6,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.01,0,0,0,2.77,SE,6.03,SW
87,WAC-009A,nmb3,7/26/2006,10,35,4200,135,1,5.28,0.02,0,0.08,1.53,1.79,1.79,1.79,1.79,1.79,0,1.45,0.26,0,3.84,S,3.99,SW
88,WAC-010,nmb3,5/16/2006,10,34.1,4300,45,1,5.44,0.87,0,0.02,0.47,0.47,0.47,0.47,0.47,0.47,0,0.45,0,0,4.5,SW,10.45,SW
89,WAC-010,nmb3,5/21/2006,10,35,4300,1,2,5.27,0.35,0,0.44,0.46,0.5,0.5,0.5,0.52,0.97,0,0.02,0.04,0,6.74,W,8.81,SW
90,WAC-010,nmb3,6/4/2006,10,33.3,2000,1,0,3.54,0.57,7,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0,0,0,0,6.46,S,2.31,SW
91,WAC-010,nmb3,6/6/2006,10,34,4200,1,0,4.09,0.75,0,0.88,0.89,1.24,1.24,1.24,1.24,1.24,0.01,0.01,0.35,0,4.44,N,4.23,N
92,WAC-010,nmb3,6/9/2006,10,35,4300,1,0,5.37,0.95,0,1.98,1.99,2.42,3.3,3.31,3.66,3.66,0.01,0.01,0.43,0.88,5.77,SW,9.82,SW
93,WAC-010,nmb3,6/15/2006,99,33.5,2000,1,1,5.91,0.81,0,0.18,0.52,4.87,4.87,4.87,4.87,6.85,0,0.34,4.35,0,1.9,SE,6.3,SW
94,WAC-010,nmb3,6/28/2006,10,32.7,4300,45,0,4.97,0.09,0,0.19,1.04,1.26,1.26,1.26,1.26,1.31,0,0.85,0.22,0,4.47,S,7.15,S
95,WAC-010,nmb3,7/7/2006,254,34.8,4300,180,2,4.95,0.86,6,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0,0,0,0,6.78,NE,4.07,NE
96,WAC-010,nmb3,7/13/2006,10,35.1,4300,45,0,6.65,0.91,5,0.03,0.03,0.03,0.03,0.03,0.03,0.48,0,0,0,0,14.17,SW,10.76,SW
97,WAC-010,nmb3,7/17/2006,20,34.8,2100,1,0,5.89,0.51,0,0.02,0.59,0.59,0.59,0.62,0.62,0.62,0,0.57,0,0,2.64,SE,2.81,NE
98,WAC-010,nmb3,7/24/2006,10,34.6,2000,1,0,5.57,0,6,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.01,0,0,0,2.77,SE,6.03,SW
99,WAC-010,nmb3,7/26/2006,10,35,4200,135,1,5.28,0.02,0,0.08,1.53,1.79,1.79,1.79,1.79,1.79,0,1.45,0.26,0,3.84,S,3.99,SW
100,WAC-011,nmb3,5/16/2006,10,34.2,4300,45,1,5.44,0.87,0,0.02,0.47,0.47,0.47,0.47,0.47,0.47,0,0.45,0,0,4.5,SW,10.45,SW
101,WAC-011,nmb3,6/4/2006,10,33.3,2000,1,0,3.54,0.57,7,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0,0,0,0,6.46,S,2.31,SW
