131,2008,342,620,13.57,4168,0
131,2008,342,630,13.58,4168,0
131,2008,342,640,13.58,4168,0
131,2008,342,650,13.58,4168,0
131,2008,342,700,13.59,4168,0
131,2008,342,710,13.59,4168,0
131,2008,342,720,13.59,4168,0
131,2008,342,730,13.59,4168,0
131,2008,342,740,13.59,4168,0
131,2008,342,750,13.6,4168,0
131,2008,342,800,13.61,4168,0
131,2008,342,810,13.61,4168,0
131,2008,342,820,13.61,4168,0
131,2008,342,830,13.61,4168,0
131,2008,342,840,13.61,4168,0
131,2008,342,850,13.61,4168,0
131,2008,342,900,13.61,4168,0
131,2008,342,910,13.62,4168,0
131,2008,342,920,13.62,4168,0
131,2008,342,930,13.62,4168,0
131,2008,342,940,13.62,4168,0
131,2008,342,950,13.62,4168,0
131,2008,342,1000,13.62,4168,0
131,2008,342,1010,13.61,4168,0
131,2008,342,1020,13.61,4168,0
131,2008,342,1030,13.61,4168,0
131,2008,342,1040,13.61,4168,0
131,2008,342,1050,13.61,4168,0
131,2008,342,1100,13.6,4168,0
131,2008,342,1110,13.6,4168,0
131,2008,342,1120,13.59,4168,0
131,2008,342,1130,13.59,4168,0
131,2008,342,1140,13.59,4168,0
131,2008,342,1150,13.58,4168,0
131,2008,342,1200,13.58,4168,0
131,2008,342,1210,13.57,4168,0
131,2008,342,1220,13.57,4168,0
131,2008,342,1230,13.57,4168,0
131,2008,342,1240,13.56,4168,0
131,2008,342,1250,13.56,4168,0
131,2008,342,1300,13.55,4168,0
131,2008,342,1310,13.55,4168,0
131,2008,342,1320,13.54,4168,0
131,2008,342,1330,13.54,4168,0
131,2008,342,1340,13.53,4168,0
131,2008,342,1350,13.53,4168,0
131,2008,342,1400,13.53,4168,0
131,2008,342,1410,13.51,4168,0
131,2008,342,1420,13.52,4168,0
131,2008,342,1430,13.51,4168,0
131,2008,342,1440,13.51,4168,0
131,2008,342,1450,13.5,4168,0
131,2008,342,1500,13.5,4168,0
131,2008,342,1510,13.49,4168,0
131,2008,342,1520,13.49,4168,0
131,2008,342,1530,13.49,4168,0
131,2008,342,1540,13.49,4168,0
131,2008,342,1550,13.48,4168,0
131,2008,342,1600,13.49,4168,0
131,2008,342,1610,13.47,4168,0
131,2008,342,1620,13.47,4168,0
131,2008,342,1630,13.47,4168,0
131,2008,342,1640,13.47,4168,0
131,2008,342,1650,13.47,4168,0
131,2008,342,1700,13.47,4168,0
131,2008,342,1710,13.47,4168,0
131,2008,342,1720,13.47,4168,0
131,2008,342,1730,13.47,4168,0
131,2008,342,1740,13.47,4168,0
131,2008,342,1750,13.47,4168,0
131,2008,342,1800,13.47,4168,0
131,2008,342,1810,13.4,4168,0
131,2008,342,1820,13.47,4168,0
131,2008,342,1830,13.48,4168,0
131,2008,342,1840,13.48,4168,0
131,2008,342,1850,13.48,4168,0
131,2008,342,1900,13.49,4168,0
131,2008,342,1910,13.49,4168,0
131,2008,342,1920,13.49,4168,0
