101,2008,338,1420,13.12,4936,0
101,2008,338,1430,13.14,4936,0
101,2008,338,1440,13.14,4936,0
101,2008,338,1450,13.16,4936,0
101,2008,338,1500,13.18,4936,0
101,2008,338,1510,13.23,4936,0
101,2008,338,1520,13.27,4936,0
101,2008,338,1530,13.32,4936,0
101,2008,338,1540,13.34,4936,0
101,2008,338,1550,13.35,4936,0
101,2008,338,1600,13.36,4936,0
101,2008,338,1610,13.36,4936,0
101,2008,338,1620,13.39,4936,0
101,2008,338,1630,13.44,4936,0
101,2008,338,1640,13.46,4936,0
101,2008,338,1650,13.48,4936,0
101,2008,338,1700,13.48,4936,0
101,2008,338,1710,13.5,4936,0
101,2008,338,1720,13.52,4936,0
101,2008,338,1730,13.56,4936,0
101,2008,338,1740,13.58,4936,0
101,2008,338,1750,13.6,4936,0
101,2008,338,1800,13.54,4936,0
101,2008,338,1810,13.47,4936,0
101,2008,338,1820,13.43,4936,0
101,2008,338,1830,13.41,4936,0
101,2008,338,1840,13.38,4936,0
101,2008,338,1850,13.34,4936,0
101,2008,338,1900,13.32,4936,0
101,2008,338,1910,13.3,4936,0
101,2008,338,1920,13.28,4936,0
101,2008,338,1930,13.26,4936,0
101,2008,338,1940,13.24,4936,0
101,2008,338,1950,13.22,4936,0
101,2008,338,2000,13.2,4936,0
101,2008,338,2010,13.18,4936,0
101,2008,338,2020,13.17,4936,0
101,2008,338,2030,13.14,4936,0
101,2008,338,2040,13.13,4936,0
101,2008,338,2050,13.11,4936,0
101,2008,338,2100,13.1,4936,0
101,2008,338,2110,13.08,4936,0
101,2008,338,2120,13.07,4936,0
101,2008,338,2130,13.05,4936,0
101,2008,338,2140,13.04,4936,0
101,2008,338,2150,13.02,4936,0
101,2008,338,2200,13,4936,0
101,2008,338,2210,12.99,4936,0
101,2008,338,2220,12.98,4936,0
101,2008,338,2230,12.96,4936,0
101,2008,338,2240,12.95,4936,0
101,2008,338,2250,12.94,4936,0
101,2008,338,2300,12.92,4936,0
101,2008,338,2310,12.92,4936,0
101,2008,338,2320,12.9,4936,0
101,2008,338,2330,12.89,4936,0
101,2008,338,2340,12.88,4936,0
101,2008,338,2350,12.87,4936,0
101,2008,338,2400,12.86,4936,0
102,2008,338,2400,12.52,4936,0
101,2008,339,10,12.84,4936,0
101,2008,339,20,12.83,4936,0
101,2008,339,30,12.82,4936,0
101,2008,339,40,12.81,4936,0
101,2008,339,50,12.8,4936,0
101,2008,339,100,12.79,4936,0
101,2008,339,110,12.77,4936,0
101,2008,339,120,12.76,4936,0
101,2008,339,130,12.75,4936,0
101,2008,339,140,12.75,4936,0
101,2008,339,150,12.73,4936,0
101,2008,339,200,12.73,4936,0
101,2008,339,210,12.72,4936,0
101,2008,339,220,12.71,4936,0
101,2008,339,230,12.7,4936,0
101,2008,339,240,12.7,4936,0
101,2008,339,250,12.69,4936,0
101,2008,339,300,12.68,4936,0
101,2008,339,310,12.68,4936,0
101,2008,339,320,12.67,4936,0
101,2008,339,330,12.66,4936,0
101,2008,339,340,12.66,4936,0
101,2008,339,350,12.65,4936,0
101,2008,339,400,12.64,4936,0
101,2008,339,410,12.64,4936,0
101,2008,339,420,12.64,4936,0
101,2008,339,430,12.63,4936,0
101,2008,339,440,12.63,4936,0
101,2008,339,450,12.62,4936,0
101,2008,339,500,12.62,4936,0
101,2008,339,510,12.61,4936,0
101,2008,339,520,12.61,4936,0
101,2008,339,530,12.6,4936,0
101,2008,339,540,12.6,4936,0
101,2008,339,550,12.6,4936,0
101,2008,339,600,12.59,4936,0
101,2008,339,610,12.51,4936,0
101,2008,339,620,12.58,4936,0
101,2008,339,630,12.57,4936,0
101,2008,339,640,12.57,4936,0
101,2008,339,650,12.56,4936,0
101,2008,339,700,12.56,4936,0
101,2008,339,710,12.56,4936,0
101,2008,339,720,12.55,4936,0
101,2008,339,730,12.55,4936,0
101,2008,339,740,12.54,4936,0
101,2008,339,750,12.54,4936,0
101,2008,339,800,12.54,4936,0
101,2008,339,810,12.54,4936,0
101,2008,339,820,12.54,4936,0
101,2008,339,830,12.55,4936,0
101,2008,339,840,12.58,4936,0
101,2008,339,850,12.66,4936,0
101,2008,339,900,12.76,4936,0
101,2008,339,910,12.89,4936,0
101,2008,339,920,14.5,4936,0
101,2008,339,930,13.81,4936,0
101,2008,339,940,13.76,4936,0
101,2008,339,950,13.78,4936,0
101,2008,339,1000,13.76,4936,0
101,2008,339,1010,13.73,4936,0
101,2008,339,1020,13.71,4936,0
101,2008,339,1030,13.7,4936,0
101,2008,339,1040,13.68,4936,0
101,2008,339,1050,13.67,4936,0
101,2008,339,1100,13.65,4936,0
101,2008,339,1110,13.64,4936,0
101,2008,339,1120,13.59,4936,0
101,2008,339,1130,13.53,4936,0
101,2008,339,1140,13.51,4936,0
101,2008,339,1150,13.47,4936,0
101,2008,339,1200,13.45,4936,0
101,2008,339,1210,13.41,4936,0
101,2008,339,1220,13.38,4936,0
101,2008,339,1230,13.36,4936,0
101,2008,339,1240,13.36,4936,0
101,2008,339,1250,13.34,4936,0
101,2008,339,1300,13.34,4936,0
101,2008,339,1310,13.31,4936,0
101,2008,339,1320,13.3,4936,0
101,2008,339,1330,13.3,4936,0
101,2008,339,1340,13.3,4936,0
101,2008,339,1350,13.29,4936,0
101,2008,339,1400,13.26,4936,0
101,2008,339,1410,13.23,4936,0
101,2008,339,1420,13.2,4936,0
101,2008,339,1430,13.18,4936,0
101,2008,339,1440,13.15,4936,0
101,2008,339,1450,13.13,4936,0
101,2008,339,1500,13.11,4936,0
101,2008,339,1510,13.12,4936,0
101,2008,339,1520,13.14,4936,0
101,2008,339,1530,13.16,4936,0
101,2008,339,1540,13.14,4936,0
101,2008,339,1550,13.14,4936,0
101,2008,339,1600,13.17,4936,0
101,2008,339,1610,13.19,4936,0
101,2008,339,1620,13.23,4936,0
101,2008,339,1630,13.23,4936,0
101,2008,339,1640,13.23,4936,0
101,2008,339,1650,13.27,4936,0
101,2008,339,1700,13.3,4936,0
101,2008,339,1710,13.39,4936,0
101,2008,339,1720,13.5,4936,0
101,2008,339,1730,13.49,4936,0
101,2008,339,1740,13.51,4936,0
101,2008,339,1750,13.59,4936,0
101,2008,339,1800,13.52,4936,0
101,2008,339,1810,13.44,4936,0
101,2008,339,1820,13.4,4936,0
101,2008,339,1830,13.36,4936,0
101,2008,339,1840,13.33,4936,0
101,2008,339,1850,13.3,4936,0
101,2008,339,1900,13.28,4936,0
101,2008,339,1910,13.25,4936,0
101,2008,339,1920,13.23,4936,0
101,2008,339,1930,13.21,4936,0
101,2008,339,1940,13.18,4936,0
101,2008,339,1950,13.16,4936,0
101,2008,339,2000,13.15,4936,0
101,2008,339,2010,13.13,4936,0
101,2008,339,2020,13.11,4936,0
101,2008,339,2030,13.1,4936,0
101,2008,339,2040,13.08,4936,0
101,2008,339,2050,13.06,4936,0
101,2008,339,2100,13.04,4936,0
101,2008,339,2110,13.03,4936,0
101,2008,339,2120,13.02,4936,0
101,2008,339,2130,13,4936,0
101,2008,339,2140,12.99,4936,0
101,2008,339,2150,12.97,4936,0
101,2008,339,2200,12.96,4936,0
101,2008,339,2210,12.95,4936,0
